service,service_label,population_size,share_of_persons
Individuals_Receiving_Homelessness_and_Housing_Services,Homelessness & Housing,21823,0.04088242952871774
Individuals_Receiving_Income_Supports,Income Supports,502530,0.9414217711160943
Individuals_Receiving_Intellectual_Disability_Services,Intellectual Disability,6360,0.011914597067435495
Individuals_Receiving_Mental_Health_Services,Mental Health,55263,0.10352773234869304
Individuals_Receiving_Substance_Use_Disorder_Services,SUD,12812,0.024001543652198674
Older_Adults_Receiving_Services,Older Adults Services,16759,0.031395712618420044
