A,B,shared,P(B|A),P(A|B),lift,containment_pct,below_fidelity_tier
Individuals_Receiving_Homelessness_and_Housing_Services,Individuals_Receiving_Substance_Use_Disorder_Services,1841,0.08436053704806855,0.14369341242585076,3.514796309375737,0.14369341242585076,True
Children_in_Care,Individuals_Receiving_DHS_Services,1202,0.5373267769333929,0.014636759942524537,3.492663308251969,0.5373267769333929,True
Individuals_Receiving_Mental_Health_Services,Jail_Population,2497,0.04518393862077701,0.36073389193874605,3.4844179791725147,0.36073389193874605,True
Individuals_Receiving_Homelessness_and_Housing_Services,Mental_Health_Crises,1031,0.04724373367548,0.14230503795721186,3.480836134194279,0.14230503795721186,True
Homeless_Population,Individuals_Receiving_DHS_Services,1825,0.5344070278184481,0.022223034022551814,3.4736847256820313,0.5344070278184481,True
Individuals_Receiving_DHS_Services,Individuals_Receiving_Family_Strengthening_Programs,1567,0.019081366747034898,0.5247823174815807,3.4111234052915207,0.5247823174815807,True
Individuals_Receiving_DHS_Services,Jail_Population,3593,0.043751978763303376,0.5190696330540306,3.373990539132126,0.5190696330540306,False
Children_Receiving_Child_Welfare_Services,Homeless_Population,155,0.021215439364905556,0.04538799414348463,3.3161875014779567,0.04538799414348463,True
Families_Receiving_Child_Welfare_Services,Individuals_Receiving_DHS_Services,1547,0.49615137908915974,0.01883782664815762,3.225020213906315,0.49615137908915974,True
Individuals_Receiving_Substance_Use_Disorder_Services,Overdoses,97,0.007571027162035592,0.07354056103108415,3.0639929704832727,0.07354056103108415,True
Individuals_Receiving_DHS_Services,Individuals_Receiving_Homelessness_and_Housing_Services,9772,0.11899369231143908,0.44778444760115477,2.910631625448099,0.44778444760115477,False
Mental_Health_Crises,Parents_Receiving_Child_Welfare_Services,277,0.03823326432022084,0.03913534896863521,2.8834244505325746,0.03913534896863521,True
Families_Receiving_Child_Welfare_Services,Jail_Population,116,0.03720333547145606,0.016758162380814793,2.868983425502423,0.03720333547145606,True
Homeless_Population,Individuals_Receiving_Family_Strengthening_Programs,54,0.01581259150805271,0.01808439383791025,2.8267734542555347,0.01808439383791025,True
Individuals_Receiving_Family_Strengthening_Programs,Individuals_Receiving_Substance_Use_Disorder_Services,202,0.06764902880107167,0.015766468935373087,2.8185282489059675,0.06764902880107167,True
Homeless_Population,Parents_Receiving_Child_Welfare_Services,124,0.0363103953147877,0.0175190731845154,2.7384081249842267,0.0363103953147877,True
Individuals_Receiving_Intellectual_Disability_Services,Mental_Health_Crises,236,0.03710691823899371,0.03257418909592823,2.733973202078206,0.03710691823899371,True
Individuals_Receiving_Family_Strengthening_Programs,Individuals_Receiving_Homelessness_and_Housing_Services,332,0.11118553248492967,0.015213307061357284,2.7196410234579558,0.11118553248492967,True
Individuals_Receiving_Homelessness_and_Housing_Services,Parents_Receiving_Child_Welfare_Services,779,0.035696283737341336,0.11005933879627014,2.692093891312386,0.11005933879627014,True
Children_Receiving_Child_Welfare_Services,Individuals_Receiving_Mental_Health_Services,2014,0.275663837941418,0.03644391364927709,2.662705264449831,0.275663837941418,True
Individuals_Receiving_Family_Strengthening_Programs,Individuals_Receiving_Mental_Health_Services,823,0.2756195579370395,0.014892423502162386,2.662277552923905,0.2756195579370395,True
Children_Receiving_Early_Intervention_Services,Individuals_Receiving_Family_Strengthening_Programs,100,0.01481042654028436,0.033489618218352314,2.647619181774029,0.033489618218352314,True
Families_Receiving_Child_Welfare_Services,Mental_Health_Crises,107,0.03431686978832585,0.014768806073153899,2.5284072844911734,0.03431686978832585,True
Children_Receiving_Child_Welfare_Services,Mental_Health_Crises,250,0.03421845058855735,0.03450655624568668,2.5211559290160563,0.03450655624568668,True
Children_Receiving_Child_Welfare_Services,Individuals_Receiving_DHS_Services,2815,0.38529975362715574,0.03427826891697718,2.5044765493585412,0.38529975362715574,False
Families_Receiving_Child_Welfare_Services,Individuals_Receiving_Homelessness_and_Housing_Services,315,0.1010262989095574,0.014434312422673326,2.4711422504524045,0.1010262989095574,True
Jail_Population,Overdoses,42,0.006067610517191563,0.03184230477634572,2.4555605962595446,0.03184230477634572,True
Individuals_Receiving_Homelessness_and_Housing_Services,Involuntary_Commitments,490,0.022453374879714064,0.09780439121756487,2.3923331451929113,0.09780439121756487,True
Individuals_Receiving_Intellectual_Disability_Services,Involuntary_Commitments,140,0.0220125786163522,0.027944111776447105,2.3453677550559258,0.027944111776447105,True
Individuals_Receiving_Mental_Health_Services,Parents_Receiving_Child_Welfare_Services,1704,0.030834373812496606,0.24074597343882453,2.325424965631093,0.24074597343882453,True
Individuals_Receiving_Family_Strengthening_Programs,Mental_Health_Crises,93,0.03114534494306765,0.012836438923395446,2.294734849587932,0.03114534494306765,True
Individuals_Receiving_Homelessness_and_Housing_Services,Individuals_Receiving_Mental_Health_Services,5004,0.22929936305732485,0.09054883013951469,2.214859321800064,0.22929936305732485,False
Families_Receiving_Child_Welfare_Services,Involuntary_Commitments,64,0.02052597819114817,0.01277445109780439,2.1869753757398604,0.02052597819114817,True
Involuntary_Commitments,Parents_Receiving_Child_Welfare_Services,142,0.028343313373253493,0.020062164453235377,2.137557549495527,0.028343313373253493,True
Families_Receiving_Child_Welfare_Services,Individuals_Receiving_Mental_Health_Services,684,0.2193713919178961,0.012377178220509202,2.11896259042001,0.2193713919178961,True
Individuals_Receiving_Homelessness_and_Housing_Services,Jail_Population,549,0.025156944508087798,0.07931233747471829,1.940010375826749,0.07931233747471829,True
Families_Receiving_Child_Welfare_Services,Homeless_Population,38,0.012187299550994226,0.011127379209370425,1.9049980418802832,0.012187299550994226,True
Children_in_Care,Individuals_Receiving_Homelessness_and_Housing_Services,165,0.07375949932945909,0.007560830316638409,1.804185812334048,0.07375949932945909,True
Children_Receiving_Child_Welfare_Services,Individuals_Receiving_Homelessness_and_Housing_Services,511,0.06994251300301123,0.02341566237455895,1.7108208540757177,0.06994251300301123,True
Individuals_Receiving_Intellectual_Disability_Services,Jail_Population,132,0.020754716981132074,0.019069633054030626,1.600526895378694,0.020754716981132074,True
Older_Adults_Receiving_Services,Overdoses,66,0.003938182469121069,0.050037907505686124,1.5937815495332508,0.050037907505686124,True
Children_Receiving_DHS_Funded_Out_of_School_Programs,Individuals_Receiving_DHS_Services,292,0.24373956594323873,0.00355568544360829,1.5843249867384488,0.24373956594323873,True
Individuals_Receiving_Family_Strengthening_Programs,Involuntary_Commitments,43,0.014400535833891493,0.008582834331337325,1.5343296661867154,0.014400535833891493,True
Individuals_Receiving_Family_Strengthening_Programs,Jail_Population,59,0.019758874748827863,0.008523548107483386,1.5237312311542277,0.019758874748827863,True
Children_in_Care,Involuntary_Commitments,30,0.013410818059901655,0.005988023952095809,1.4288784969176533,0.013410818059901655,True
Children_Receiving_DHS_Funded_Out_of_School_Programs,Individuals_Receiving_Mental_Health_Services,173,0.14440734557595994,0.0031304851347194323,1.3948663058665263,0.14440734557595994,True
Children_Receiving_Child_Welfare_Services,Individuals_Receiving_Intellectual_Disability_Services,120,0.01642485628250753,0.018867924528301886,1.3785490343940623,0.018867924528301886,True
Children_Receiving_Early_Intervention_Services,Homeless_Population,55,0.008145734597156399,0.016105417276720352,1.2732606097298649,0.016105417276720352,True
Individuals_Receiving_Family_Strengthening_Programs,Individuals_Receiving_Intellectual_Disability_Services,44,0.014735432016075016,0.006918238993710692,1.236754540054847,0.014735432016075016,True
Jail_Population,Older_Adults_Receiving_Services,254,0.03669459693730136,0.015156035562981085,1.1687773226645102,0.03669459693730136,True
Individuals_Receiving_Homelessness_and_Housing_Services,Overdoses,62,0.0028410392704944325,0.04700530705079606,1.149767946588823,0.04700530705079606,True
Individuals_Receiving_DHS_Services,Older_Adults_Receiving_Services,2812,0.03424173790214559,0.1677904409570977,1.0906501253313092,0.1677904409570977,False
Individuals_Receiving_DHS_Services,Overdoses,221,0.0026911180925939457,0.16755117513267628,1.0890948799913234,0.16755117513267628,True
Individuals_Receiving_Intellectual_Disability_Services,Parents_Receiving_Child_Welfare_Services,91,0.014308176100628931,0.012856739191862109,1.0790746106724531,0.014308176100628931,True
Children_Receiving_Early_Intervention_Services,Individuals_Receiving_Mental_Health_Services,748,0.11078199052132702,0.013535276767457432,1.0700706758282006,0.11078199052132702,True
Individuals_Receiving_Income_Supports,Individuals_Receiving_Intellectual_Disability_Services,6111,0.012160468031759297,0.9608490566037736,1.0206361124033145,0.9608490566037736,False
Children_in_Care,Individuals_Receiving_Income_Supports,2119,0.9472507822977202,0.0042166636817702425,1.0061917106237255,0.9472507822977202,True
Individuals_Receiving_Income_Supports,Individuals_Receiving_Substance_Use_Disorder_Services,12043,0.0239647384235767,0.9399781454886045,0.9984665474373103,0.9399781454886045,False
Individuals_Receiving_Family_Strengthening_Programs,Individuals_Receiving_Income_Supports,2796,0.9363697253851306,0.005563846934511373,0.9946336000653838,0.9363697253851306,False
Individuals_Receiving_Income_Supports,Individuals_Receiving_Mental_Health_Services,50410,0.10031241915905519,0.9121835586196912,0.9689424937966542,0.9121835586196912,False
Individuals_Receiving_DHS_Services,Individuals_Receiving_Income_Supports,74268,0.9043618031708921,0.14778819174974628,0.9606340440786003,0.9043618031708921,False
Children_Receiving_Child_Welfare_Services,Individuals_Receiving_Income_Supports,6557,0.8974815220366822,0.01304797723518994,0.9533256501734402,0.8974815220366822,False
Children_Receiving_Early_Intervention_Services,Individuals_Receiving_DHS_Services,961,0.1423281990521327,0.011702101751053311,0.9251436926259636,0.1423281990521327,True
Individuals_Receiving_Mental_Health_Services,Overdoses,123,0.0022257206449161284,0.0932524639878696,0.9007486387684491,0.0932524639878696,True
Individuals_Receiving_Intellectual_Disability_Services,Individuals_Receiving_Substance_Use_Disorder_Services,136,0.021383647798742137,0.010615048392132375,0.8909280214892877,0.021383647798742137,True
Involuntary_Commitments,Older_Adults_Receiving_Services,136,0.02714570858283433,0.008115042663643416,0.8646310696227927,0.02714570858283433,True
Children_Receiving_DHS_Funded_Out_of_School_Programs,Individuals_Receiving_Homelessness_and_Housing_Services,42,0.035058430717863104,0.0019245749896897768,0.8575427420045184,0.035058430717863104,True
Homeless_Population,Individuals_Receiving_Income_Supports,2725,0.7979502196193266,0.0054225618371042525,0.8476011965108091,0.7979502196193266,False
Individuals_Receiving_Homelessness_and_Housing_Services,Individuals_Receiving_Income_Supports,17138,0.7853182422215094,0.034103436610749605,0.8341832176777495,0.7853182422215094,False
Children_Receiving_Early_Intervention_Services,Mental_Health_Crises,75,0.01110781990521327,0.010351966873706004,0.8184048526684525,0.01110781990521327,True
Individuals_Receiving_Income_Supports,Mental_Health_Crises,5543,0.011030187252502339,0.765079365079365,0.8126850138300201,0.765079365079365,False
Individuals_Receiving_Income_Supports,Involuntary_Commitments,3646,0.00725528824149802,0.7277445109780439,0.7730270674697407,0.7277445109780439,False
Children_Receiving_Child_Welfare_Services,Involuntary_Commitments,53,0.007254311524774158,0.010578842315369262,0.7729230015195451,0.010578842315369262,True
Homeless_Population,Older_Adults_Receiving_Services,82,0.024011713030746704,0.004892893370726177,0.7648086642460504,0.024011713030746704,True
Mental_Health_Crises,Older_Adults_Receiving_Services,166,0.022912353347135955,0.009905125604152992,0.7297924282085939,0.022912353347135955,True
Individuals_Receiving_Income_Supports,Jail_Population,4630,0.00921338029570374,0.6688818260618319,0.7105017608301589,0.6688818260618319,False
Individuals_Receiving_Income_Supports,Parents_Receiving_Child_Welfare_Services,4723,0.009398443873997572,0.6672788923424696,0.7087990875241635,0.6672788923424696,False
Individuals_Receiving_Substance_Use_Disorder_Services,Older_Adults_Receiving_Services,275,0.021464252263502966,0.01640909362133779,0.6836682614717835,0.021464252263502966,True
Individuals_Receiving_Intellectual_Disability_Services,Older_Adults_Receiving_Services,136,0.021383647798742137,0.008115042663643416,0.68110088975003,0.021383647798742137,True
Children_Receiving_Early_Intervention_Services,Individuals_Receiving_Income_Supports,4301,0.6369964454976303,0.008558693013352436,0.676632371420989,0.6369964454976303,False
Homicides,Individuals_Receiving_Income_Supports,106,0.6162790697674418,0.00021093268063598192,0.6546258952953867,0.6162790697674418,True
Individuals_Receiving_Mental_Health_Services,Older_Adults_Receiving_Services,1117,0.020212438702205817,0.06665075481830658,0.6437961433736358,0.06665075481830658,True
Individuals_Receiving_Homelessness_and_Housing_Services,Individuals_Receiving_Intellectual_Disability_Services,164,0.007515007102598176,0.02578616352201258,0.6307395088616043,0.02578616352201258,True
Families_Receiving_Child_Welfare_Services,Individuals_Receiving_Income_Supports,1836,0.5888389993585632,0.0036535132230911586,0.6254784172459389,0.5888389993585632,True
Children_Receiving_DHS_Funded_Out_of_School_Programs,Individuals_Receiving_Income_Supports,692,0.5776293823038398,0.0013770322169820708,0.6135713024981739,0.5776293823038398,True
Individuals_Receiving_Homelessness_and_Housing_Services,Older_Adults_Receiving_Services,411,0.018833340970535673,0.024524136284981204,0.5998698357140027,0.024524136284981204,True
Children_Receiving_Early_Intervention_Services,Individuals_Receiving_Intellectual_Disability_Services,48,0.0071090047393364926,0.007547169811320755,0.596663462398283,0.007547169811320755,True
Individuals_Receiving_Family_Strengthening_Programs,Older_Adults_Receiving_Services,54,0.01808439383791025,0.0032221492929172383,0.5760147590120325,0.01808439383791025,True
Children_Attending_Early_Childhood_Programs_Managed_by_DHS,Individuals_Receiving_Income_Supports,163,0.4670487106017192,0.0003243587447515571,0.496109952978901,0.4670487106017192,True
Children_Receiving_Early_Intervention_Services,Individuals_Receiving_Homelessness_and_Housing_Services,134,0.019845971563981043,0.006140310681391193,0.48544012165520395,0.019845971563981043,True
Individuals_Receiving_Income_Supports,Overdoses,436,0.0008676098939366804,0.3305534495830174,0.35112152674261266,0.3305534495830174,True
Older_Adults_Receiving_Services,Parents_Receiving_Child_Welfare_Services,75,0.004475207351273942,0.010596213619666572,0.33750511569690295,0.010596213619666572,True
Individuals_Receiving_Income_Supports,Older_Adults_Receiving_Services,5311,0.010568523272242452,0.3169043499015454,0.3366231370726027,0.3169043499015454,False
Families_Receiving_Child_Welfare_Services,Older_Adults_Receiving_Services,32,0.010262989095574085,0.0019094218032102155,0.3268914205041083,0.010262989095574085,True
Children_Receiving_Child_Welfare_Services,Individuals_Receiving_Substance_Use_Disorder_Services,37,0.005064330687106488,0.0028879175772713083,0.21100020734052108,0.005064330687106488,True
Individuals_Receiving_Income_Supports,Suicides,66,0.0001313354426601397,0.056074766355140186,0.05956391500130834,0.056074766355140186,True
